EMISORA,SERIE,HORA,ÚLTIMO,PPP,ANTERIOR,MÁXIMO,MÍNIMO,VOLUMEN,IMPORTE,OPS.,VAR PUNTOS,VAR %
AC,*,3:10,105.63,105.73,106.08,106.24,105.46,"630,918","66,788,185.21","4,458",-0.35,-0.33
ACTINVR,B,3:10,11,0,10.81,11,11,"1,404","15,452.29",5,0.19,1.76
AEROMEX,*,3:10,14.49,14.49,14.69,14.77,14.4,"243,248","3,545,704.93",673,-0.2,-1.36
AGUA,*,3:10,17.47,17.54,17.59,17.8,17.4,"483,325","8,531,401.72","1,467",-0.05,-0.28
ALEATIC,*,3:10,19.69,0,19.69,0,0,24,466.66,2,0,0
ALFA,A,3:10,15.89,15.91,15.78,16.1,15.81,"2,541,462","40,599,726.26","8,259",0.13,0.82
ALPEK,A,3:10,19.86,19.86,19.53,19.93,19.55,"452,365","8,887,694.78","1,106",0.33,1.69
ALSEA,*,3:10,52.7,52.84,52.22,53.15,52.57,"2,075,857","109,640,321.14","12,932",0.62,1.19
AMX,A,3:10,15,0,15,15,15,190,"2,866.32",6,0,0
AMX,L,3:10,15.26,15.27,15.26,15.34,15.25,"31,017,338","474,286,941.68","11,832",0.01,0.07
ANB,*,3:10,1538.05,0,1557.07,1538.05,1538.05,160,"246,088",1,-19.02,-1.22
ANGELD,10,3:10,16.99,16.97,16.83,17,16.6,"31,616","527,225.45",28,0.14,0.83
ARA,*,3:10,3.77,3.78,3.72,3.8,3.68,"458,808","1,712,140.06",656,0.06,1.61
ASUR,B,3:10,330.43,330.33,328.96,331.53,325.61,"250,362","82,510,936.88","9,505",1.37,0.42
AUTLAN,B,3:10,9.37,9.37,9.2,9.37,9.2,"28,309","261,280.70",32,0.17,1.85
AXTEL,CPO,3:10,3.01,3.01,2.97,3.05,2.96,"639,332","1,919,138.67","3,814",0.04,1.35
AZTECA,CPO,3:10,0.83,0.84,0.86,0.86,0.83,"1,747,514","1,476,517.82","1,403",-0.02,-2.44
BACHOCO,B,3:10,81.83,81.54,80.18,81.99,79.74,"674,463","54,139,584.17","2,425",1.36,1.7
BBAJIO,O,3:10,30.67,30.6,30.52,30.87,30.35,"2,514,045","77,154,152.23","4,015",0.08,0.26
BBVA,*,3:10,101.2,101.2,101.6,101.2,100.9,"13,981","1,413,985.43",47,-0.4,-0.39
