Nombre,Clase,Codigo,Sector|Economatica,Tipo de Activo,Bolsa / Fuente,Activo /|Cancelado,Máximo|15Nov19|ajust p/var cap|52 sem|en moneda orig,Mínimo|15Nov19|ajust p/var cap|52 sem|en moneda orig,Cierre|14Nov19|ajust p/var cap|en moneda orig,Cierre|15Nov19|ajust p/var cap|en moneda orig,Máximo|15Nov19|ajust p/var cap|en el Día|en moneda orig,Mínimo|15Nov19|ajust p/var cap|en el Día|en moneda orig,Retorno|del cierre|en 1 día|(de 14Nov19|hasta 15Nov19)|en moneda orig|ajust p/var cap,Retorno|del cierre|en 1 semana|(de 08Nov19|hasta 15Nov19)|en moneda orig|ajust p/var cap,Retorno|del cierre|en 1 mes|(de 15Oct19|hasta 15Nov19)|en moneda orig|ajust p/var cap,Retorno|del cierre|en 1 año|(de 15Nov18|hasta 15Nov19)|en moneda orig|ajust p/var cap,Retorno|del cierre|en el año|(de 31Dic18|hasta 15Nov19)|en moneda orig|ajust p/var cap,Cant Tit|15Nov19|ajust p/var cap|en el Día,UPA| Mas reciente| en moneda orig| de 12 meses| consolid:si*| ajust p/var cap,VLA| Mas reciente| en moneda orig| consolid:si*| ajust p/var cap,P/VL|15Nov19|en moneda orig|consolid:si*,P/U|15Nov19|en moneda orig|de 12 meses|consolid:si*,Fecha del Bal| Mas reciente| consolid:si*
Abb Ltd,Com,ABBN,Electroelectronic,"ADR,etc (emp extranj)",BMV,activo,376.0720724,346.0609019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9/30/2019
Abiomed Inc,Com,ABMD,Otros,"ADR,etc (emp extranj)",BMV,activo,5378.5,3156,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9/30/2019
Accel,B,ACCELSAB,Otros,Accion,BMV,activo,21.35,13.77,-,-,-,-,-,-,-,-,-,-,2.932933507,18.37694879,1.1,6.9,9/30/2019
"Accelerate Diagnostics, Inc",Com,AXDX,Electroelectronic,"ADR,etc (emp extranj)",BMV,activo,406.6,361.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9/30/2019
Adient Plc,Com,ADNTN,Vehículos y Pieza,"ADR,etc (emp extranj)",BMV,activo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6/30/2019
"Advance Auto Parts, Inc",Com,AAP,Comercio,"ADR,etc (emp extranj)",BMV,activo,3259.7,2688.408832,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10/5/2019
"Advanced Drainage Systems, Inc",Com,WMS,Otros,"ADR,etc (emp extranj)",BMV,activo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9/30/2019
Advansix Inc,Com,ASIX,Química,"ADR,etc (emp extranj)",BMV,activo,569.6,439.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9/30/2019
Aegon Nv,Com,AEGN,Finanzas y Seguros,"ADR,etc (emp extranj)",BMV,activo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6/30/2019
Aeromex,*,AEROMEX,Transporte Servic,Accion,BMV,activo,26.42,12.65,14.69,14.49,14.77,14.4,-1.36,-6.94,0.35,-36.61,-34.73,243248,-4.293068056,9.384575504,1.5,-3.4,9/30/2019
AES Corp,Com,AES,Energía Eléctrica,"ADR,etc (emp extranj)",BMV,activo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9/30/2019
"Agilent Technologies, Inc",Com,A,Electroelectronic,"ADR,etc (emp extranj)",BMV,activo,1541.69469,1267.290425,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7/31/2019
"Agios Pharmaceuticals, Inc",Com,AGIO,Química,"ADR,etc (emp extranj)",BMV,activo,712.5,583,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9/30/2019
Air Products & Chemicals Inc,Com,APD,Química,"ADR,etc (emp extranj)",BMV,activo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6/30/2019
"Air Transport Services Group, Inc",Com,ATSG,Otros,"ADR,etc (emp extranj)",BMV,activo,480.4,394,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9/30/2019
Albemarle Corp,Com,ALB,Química,"ADR,etc (emp extranj)",BMV,activo,1351.126769,1232.816184,1262.97,-,-,-,-,-,-,-,-,-,-,-,-,-,9/30/2019
Alcoa Corp,Com,AA1,Siderur & Metalur,"ADR,etc (emp extranj)",BMV,activo,680,334.06,-,-,-,-,-,-,9.84,-43.27,-21.78,-,-,-,-,-,9/30/2019
Aleatica,*,ALEATIC,Construcción,Accion,BMV,activo,24.38779003,14.72470341,19.69,-,-,-,-,-0.46,0.77,-15.87,-15.37,-,5.076260119,50.8546462,0.4,3.9,9/30/2019
"Alexandria Real Estate Equities, Inc",Com,ARE,Fondos,"ADR,etc (emp extranj)",BMV,activo,3030,2736.923345,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9/30/2019
"Alexion Pharmaceuticals, Inc",Com,ALXN,Química,"ADR,etc (emp extranj)",BMV,activo,2341,1874.52,2038,-,-,-,-,-1.16,3.81,-,-,-,-,-,-,-,9/30/2019
Alfa,A,ALFAA,Siderur & Metalur,Accion,BMV,activo,24.49137813,13.91372664,15.78,15.91,16.1,15.81,0.82,-7.18,-8.93,-22.25,-30.56,2541462,1.760828232,13.90607742,1.1,9,9/30/2019
Alibaba Group Holding Ltd,Com,BABAN,Otros,"ADR,etc (emp extranj)",BMV,activo,3704,2523.21,3520,3570,3570,3545.95,1.42,0,5.93,12.68,32.78,7415,-,-,-,-,9/30/2019
Align Technology Inc,Com,ALGN,Otros,"ADR,etc (emp extranj)",BMV,activo,5000,3362,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9/30/2019
Alliance Data Systems Corp,Com,ADS1,Otros,"ADR,etc (emp extranj)",BMV,activo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9/30/2019
Ally Financial Inc,Com,ALLY1,Finanzas y Seguros,"ADR,etc (emp extranj)",BMV,activo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9/30/2019
Almaden Minerals Ltd,Com,AAUN,Minería,"ADR,etc (emp extranj)",BMV,activo,16.3,9,9.69,-,-,-,-,7.67,-,-,-17.53,-,-,-,-,-,6/30/2019
"Alnylam Pharmaceuticals, Inc",Com,ALNY,Química,"ADR,etc (emp extranj)",BMV,activo,1534.5,1534.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9/30/2019
Alpek,A,ALPEKA,Química,Accion,BMV,activo,27.62,19.03,19.53,19.86,19.93,19.55,1.69,-6.01,-10.3,-24.74,-13.44,452365,4.897354041,17.31363976,1.1,4.1,9/30/2019
